SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp9,rgrp6,tot_tvst
,all,-1,nclient,1,2013,22,1,,,23
,all,-1,nclient,1,2014,15,,,,15
,all,-1,nclient,1,2015,,1,,,1
,all,-1,nclient,1,2016,2,3,,,5
,all,-1,nclient,1,2017,3,1,,,4
,all,-1,nclient,1,2018,,1,,,1
,all,-1,nclient,0,2013,101,5,1,,107
,all,-1,nclient,0,2014,234,2,1,4,237
,all,-1,nclient,0,2015,8,5,3,,16
,all,-1,nclient,0,2016,14,6,2,1,22
,all,-1,nclient,0,2017,29,6,2,1,37
,all,-1,nclient,0,2018,18,2,2,,22
Bexar SDA,all,-1,nclient,1,2013,181,137,12,,330
Bexar SDA,all,-1,nclient,1,2014,442,238,31,13,711
Bexar SDA,all,-1,nclient,1,2015,914,812,49,62,1775
Bexar SDA,all,-1,nclient,1,2016,569,460,66,11,1095
Bexar SDA,all,-1,nclient,1,2017,953,1132,71,117,2156
Bexar SDA,all,-1,nclient,1,2018,863,1144,108,232,2115
Bexar SDA,all,-1,nclient,0,2013,2988,1514,607,2,5109
Bexar SDA,all,-1,nclient,0,2014,6546,5106,1941,25,13593
Bexar SDA,all,-1,nclient,0,2015,10021,8773,3826,435,22620
Bexar SDA,all,-1,nclient,0,2016,10225,14451,4533,140,29209
Bexar SDA,all,-1,nclient,0,2017,11055,17888,4959,643,33902
Bexar SDA,all,-1,nclient,0,2018,10941,21232,5248,1882,37421
Dallas SDA,all,-1,nclient,1,2013,23,153,,4,176
Dallas SDA,all,-1,nclient,1,2014,27,181,1,3,209
Dallas SDA,all,-1,nclient,1,2015,142,159,5,4,306
Dallas SDA,all,-1,nclient,1,2016,187,109,27,65,323
Dallas SDA,all,-1,nclient,1,2017,1418,679,75,460,2172
Dallas SDA,all,-1,nclient,1,2018,991,920,139,265,2050
Dallas SDA,all,-1,nclient,0,2013,436,364,65,68,865
Dallas SDA,all,-1,nclient,0,2014,2965,4974,89,23,8028
Dallas SDA,all,-1,nclient,0,2015,4331,6160,1974,1744,12465
Dallas SDA,all,-1,nclient,0,2016,2954,1625,2177,375,6756
Dallas SDA,all,-1,nclient,0,2017,11013,22088,2840,959,35941
Dallas SDA,all,-1,nclient,0,2018,15625,32548,2771,1440,50944
El Paso SDA,all,-1,nclient,1,2013,16,54,,,70
El Paso SDA,all,-1,nclient,1,2014,34,132,1,13,167
El Paso SDA,all,-1,nclient,1,2015,161,60,30,22,251
