SDA,type,post,meas,treat,sfy,rgrp4,rgrp3,rgrp6,tot_tvst
,all,-1,nclient,1,2013,22.0,,,23.0
,all,-1,nclient,1,2014,15.0,,,15.0
,all,-1,nclient,1,2015,,,,1.0
,all,-1,nclient,1,2016,,,,5.0
,all,-1,nclient,1,2017,,,,4.0
,all,-1,nclient,1,2018,,,,1.0
,all,-1,nclient,0,2013,101.0,,,107.0
,all,-1,nclient,0,2014,234.0,,,237.0
,all,-1,nclient,0,2015,8.0,,,16.0
,all,-1,nclient,0,2016,14.0,6.0,,22.0
,all,-1,nclient,0,2017,29.0,6.0,,37.0
,all,-1,nclient,0,2018,18.0,,,22.0
Bexar SDA,all,-1,nclient,1,2013,181.0,137.0,,330.0
Bexar SDA,all,-1,nclient,1,2014,442.0,238.0,13.0,711.0
Bexar SDA,all,-1,nclient,1,2015,914.0,812.0,62.0,1775.0
Bexar SDA,all,-1,nclient,1,2016,569.0,460.0,11.0,1095.0
Bexar SDA,all,-1,nclient,1,2017,953.0,1132.0,117.0,2156.0
Bexar SDA,all,-1,nclient,1,2018,863.0,1144.0,232.0,2115.0
Bexar SDA,all,-1,nclient,0,2013,2988.0,1514.0,,5109.0
Bexar SDA,all,-1,nclient,0,2014,6546.0,5106.0,25.0,13593.0
Bexar SDA,all,-1,nclient,0,2015,10021.0,8773.0,435.0,22620.0
Bexar SDA,all,-1,nclient,0,2016,10225.0,14451.0,140.0,29209.0
Bexar SDA,all,-1,nclient,0,2017,11055.0,17888.0,643.0,33902.0
Bexar SDA,all,-1,nclient,0,2018,10941.0,21232.0,1882.0,37421.0
Dallas SDA,all,-1,nclient,1,2013,23.0,153.0,,176.0
Dallas SDA,all,-1,nclient,1,2014,27.0,181.0,,209.0
Dallas SDA,all,-1,nclient,1,2015,142.0,159.0,,306.0
Dallas SDA,all,-1,nclient,1,2016,187.0,109.0,65.0,323.0
Dallas SDA,all,-1,nclient,1,2017,1418.0,679.0,460.0,2172.0
Dallas SDA,all,-1,nclient,1,2018,991.0,920.0,265.0,2050.0
Dallas SDA,all,-1,nclient,0,2013,436.0,364.0,68.0,865.0
Dallas SDA,all,-1,nclient,0,2014,2965.0,4974.0,23.0,8028.0
Dallas SDA,all,-1,nclient,0,2015,4331.0,6160.0,1744.0,12465.0
Dallas SDA,all,-1,nclient,0,2016,2954.0,1625.0,375.0,6756.0
Dallas SDA,all,-1,nclient,0,2017,11013.0,22088.0,959.0,35941.0
Dallas SDA,all,-1,nclient,0,2018,15625.0,32548.0,1440.0,50944.0
El Paso SDA,all,-1,nclient,1,2013,16.0,54.0,,70.0
El Paso SDA,all,-1,nclient,1,2014,34.0,132.0,13.0,167.0
