SDA,sfy,demo,rgrp31,rgrp32,rgrp41,rgrp42,rgrp62,rgrp61,ord
,2013,N,,,22.0,101.0,,,0
,2013,Age,,,25.471363761,26.933861523,,,1
,2013,Female,,,0.3181818182,0.4356435644,,,2
,2013,White,,,0.3181818182,0.2772277228,,,3
,2013,Black,,,0.0909090909,0.1485148515,,,4
,2013,FFS,,,1.0,1.0,,,5
,2013,Dual Eligible,,,0.1363636364,0.1386138614,,,6
,2013,Comorbidity Index,,,2.6363636364,1.9207920792,,,7
,2014,N,,,15.0,234.0,,,0
,2014,Age,,,30.65800031,22.581624072,,,1
,2014,Female,,,0.3333333333,0.3760683761,,,2
,2014,White,,,0.4,0.1495726496,,,3
,2014,Black,,,0.2,0.0811965812,,,4
,2014,FFS,,,1.0,1.0,,,5
,2014,Dual Eligible,,,0.0666666667,0.0811965812,,,6
,2014,Comorbidity Index,,,2.8,1.6666666667,,,7
,2015,N,,,,8.0,,,0
,2015,Age,,,,41.548750401,,,1
,2015,Female,,,,0.125,,,2
,2015,White,,,,0.125,,,3
,2015,Black,,,,0.0,,,4
,2015,FFS,,,,1.0,,,5
,2015,Dual Eligible,,,,0.25,,,6
,2015,Comorbidity Index,,,,4.375,,,7
,2016,N,,6.0,,14.0,,,0
,2016,Age,,10.259999911,,24.722857075,,,1
,2016,Female,,0.3333333333,,0.5714285714,,,2
,2016,White,,0.3333333333,,0.1428571429,,,3
,2016,Black,,0.0,,0.2142857143,,,4
,2016,FFS,,1.0,,1.0,,,5
,2016,Dual Eligible,,0.0,,0.3571428571,,,6
,2016,Comorbidity Index,,0.8333333333,,2.2857142857,,,7
,2017,N,,6.0,,29.0,,,0
,2017,Age,,13.163333257,,24.329310407,,,1
,2017,Female,,0.3333333333,,0.5172413793,,,2
,2017,White,,0.1666666667,,0.2413793103,,,3
,2017,Black,,0.3333333333,,0.0689655172,,,4
,2017,FFS,,1.0,,1.0,,,5
,2017,Dual Eligible,,0.0,,0.275862069,,,6
,2017,Comorbidity Index,,1.1666666667,,1.7586206897,,,7
,2018,N,,,,18.0,,,0
,2018,Age,,,,37.917777909,,,1
,2018,Female,,,,0.5,,,2
,2018,White,,,,0.2777777778,,,3
,2018,Black,,,,0.1666666667,,,4
,2018,FFS,,,,1.0,,,5
,2018,Dual Eligible,,,,0.7777777778,,,6
,2018,Comorbidity Index,,,,2.6666666667,,,7
Bexar SDA,2013,N,137.0,1514.0,181.0,2988.0,,,0
Bexar SDA,2013,Age,12.639269989,11.333421324,34.863425713,39.384953517,,,1
Bexar SDA,2013,Female,0.4890510949,0.4947159841,0.4254143646,0.5013386881,,,2
Bexar SDA,2013,White,0.204379562,0.1664464993,0.2817679558,0.2202141901,,,3
Bexar SDA,2013,Black,0.1313868613,0.0951122853,0.1436464088,0.0993975904,,,4
Bexar SDA,2013,FFS,0.1167883212,0.2007926024,0.320441989,0.2908299866,,,5
Bexar SDA,2013,Dual Eligible,0.0,0.0,0.2154696133,0.2744310576,,,6
Bexar SDA,2013,Comorbidity Index,1.6934306569,0.8593130779,3.9502762431,2.9819277108,,,7
Bexar SDA,2014,N,238.0,5106.0,442.0,6546.0,25.0,13.0,0
Bexar SDA,2014,Age,12.472436905,10.147918062,37.482670016,40.925168454,65.383600922,54.811539283,1
Bexar SDA,2014,Female,0.5168067227,0.499804152,0.3959276018,0.5314695998,0.72,0.9230769231,2
Bexar SDA,2014,White,0.256302521,0.116137877,0.2307692308,0.1958447907,0.32,0.3076923077,3
Bexar SDA,2014,Black,0.1386554622,0.0689385037,0.0814479638,0.0798961198,0.08,0.0769230769,4
Bexar SDA,2014,FFS,0.1428571429,0.1406188797,0.2126696833,0.3264589062,0.08,0.0,5
Bexar SDA,2014,Dual Eligible,0.0,0.000195848,0.2375565611,0.2042468683,0.64,0.0769230769,6
Bexar SDA,2014,Comorbidity Index,1.4831932773,0.5475910693,3.6018099548,3.0927283837,6.64,7.8461538462,7
Bexar SDA,2015,N,812.0,8773.0,914.0,10021.0,435.0,62.0,0
Bexar SDA,2015,Age,11.560541795,10.396266883,28.925984848,40.695057768,55.322207685,64.075969081,1
Bexar SDA,2015,Female,0.4162561576,0.4985751738,0.398249453,0.5382696338,0.7149425287,0.7741935484,2
Bexar SDA,2015,White,0.1539408867,0.1084007751,0.1236323851,0.168246682,0.1632183908,0.2096774194,3
Bexar SDA,2015,Black,0.0849753695,0.0609825601,0.0590809628,0.0795329807,0.0275862069,0.064516129,4
Bexar SDA,2015,FFS,0.1403940887,0.0696455032,0.4398249453,0.350563816,0.0804597701,0.0161290323,5
Bexar SDA,2015,Dual Eligible,0.0,0.0003419583,0.1269146608,0.2296178026,0.2873563218,0.7903225806,6
Bexar SDA,2015,Comorbidity Index,1.0320197044,0.5537444432,2.5306345733,3.2608522104,3.9494252874,5.3387096774,7
Bexar SDA,2016,N,460.0,14451.0,569.0,10225.0,140.0,11.0,0
Bexar SDA,2016,Age,11.954739057,10.23928925,33.366590805,40.238370061,61.874929483,69.664546273,1
Bexar SDA,2016,Female,0.4630434783,0.5142204692,0.4657293497,0.5258679707,0.7285714286,0.7272727273,2
Bexar SDA,2016,White,0.1869565217,0.0930039444,0.1282952548,0.1442542787,0.1642857143,0.0,3
Bexar SDA,2016,Black,0.1108695652,0.0679537748,0.0773286467,0.0761858191,0.05,0.0,4
Bexar SDA,2016,FFS,0.1543478261,0.0540447028,0.3725834798,0.3476772616,0.2785714286,0.0909090909,5
Bexar SDA,2016,Dual Eligible,0.0,0.0001383987,0.151142355,0.1966748166,0.6428571429,1.0,6
Bexar SDA,2016,Comorbidity Index,1.3282608696,0.4738772403,3.7170474517,3.2793154034,5.5928571429,7.9090909091,7
Bexar SDA,2017,N,1132.0,17888.0,953.0,11055.0,643.0,117.0,0
Bexar SDA,2017,Age,12.408029959,10.042182956,29.514354888,37.848900391,59.537574786,65.285385963,1
Bexar SDA,2017,Female,0.4938162544,0.5162119857,0.4228751312,0.5214834916,0.6796267496,0.7777777778,2
Bexar SDA,2017,White,0.1872791519,0.0931350626,0.1154249738,0.1358661239,0.1446345257,0.1367521368,3
Bexar SDA,2017,Black,0.074204947,0.0542822004,0.0682056663,0.06883763,0.0388802488,0.1025641026,4
Bexar SDA,2017,FFS,0.1307420495,0.052549195,0.0828961175,0.3726820443,0.1617418351,0.0170940171,5
Bexar SDA,2017,Dual Eligible,0.0,0.0,0.1154249738,0.1829036635,0.4463452566,0.9829059829,6
Bexar SDA,2017,Comorbidity Index,1.3356890459,0.5035778175,2.7649527807,3.0284034374,5.5241057543,4.5897435897,7
Bexar SDA,2018,N,1144.0,21232.0,863.0,10941.0,1882.0,232.0,0
Bexar SDA,2018,Age,11.883540135,10.040689925,36.02208603,36.648187881,61.556765153,67.708363369,1
Bexar SDA,2018,Female,0.4851398601,0.5061699322,0.4194669757,0.5174115712,0.6583421892,0.6681034483,2
Bexar SDA,2018,White,0.1625874126,0.1021571213,0.1622247972,0.1356365963,0.1631243358,0.1982758621,3
Bexar SDA,2018,Black,0.0839160839,0.0634419744,0.0660486674,0.0704688785,0.0669500531,0.0431034483,4
Bexar SDA,2018,FFS,0.0174825175,0.0086190656,0.100811124,0.1207385065,0.2130712009,0.0431034483,5
Bexar SDA,2018,Dual Eligible,0.0,0.0,0.1541135574,0.1646101819,0.6046758767,0.9137931034,6
Bexar SDA,2018,Comorbidity Index,1.3120629371,0.4738131123,3.2746234067,2.8247874966,5.7646121148,5.7672413793,7
Dallas SDA,2013,N,153.0,364.0,23.0,436.0,68.0,,0
Dallas SDA,2013,Age,12.867124109,10.066181244,32.535652492,34.641904036,59.522501328,,1
Dallas SDA,2013,Female,0.4248366013,0.510989011,0.4782608696,0.5481651376,0.7941176471,,2
Dallas SDA,2013,White,0.2549019608,0.2774725275,0.4782608696,0.3990825688,0.2352941176,,3
Dallas SDA,2013,Black,0.4444444444,0.2802197802,0.1304347826,0.2018348624,0.4705882353,,4
Dallas SDA,2013,FFS,0.0130718954,0.1126373626,0.6086956522,0.5619266055,0.2647058824,,5
Dallas SDA,2013,Dual Eligible,0.0,0.0,0.3913043478,0.4678899083,0.9117647059,,6
Dallas SDA,2013,Comorbidity Index,2.1960784314,0.7417582418,3.6086956522,3.0665137615,5.3676470588,,7
Dallas SDA,2014,N,181.0,4974.0,27.0,2965.0,23.0,,0
Dallas SDA,2014,Age,12.005911516,9.6031684058,40.027407611,12.616101183,56.566087474,,1
Dallas SDA,2014,Female,0.4254143646,0.4941696823,0.4074074074,0.4529510961,0.6956521739,,2
Dallas SDA,2014,White,0.270718232,0.1353035786,0.4074074074,0.0768971332,0.2608695652,,3
Dallas SDA,2014,Black,0.4972375691,0.2476879775,0.2592592593,0.0984822934,0.3913043478,,4
Dallas SDA,2014,FFS,0.0165745856,0.094491355,0.5925925926,0.8984822934,0.1739130435,,5
Dallas SDA,2014,Dual Eligible,0.0,0.0004020909,0.5555555556,0.0930860034,0.652173913,,6
Dallas SDA,2014,Comorbidity Index,1.7182320442,0.8258946522,4.4444444444,1.721079258,6.1304347826,,7
Dallas SDA,2015,N,159.0,6160.0,142.0,4331.0,1744.0,,0
Dallas SDA,2015,Age,12.228867849,10.118571356,42.294366649,29.758453257,62.491331421,,1
Dallas SDA,2015,Female,0.2955974843,0.499512987,0.5352112676,0.520895867,0.6622706422,,2
Dallas SDA,2015,White,0.2641509434,0.136038961,0.4718309859,0.1902562918,0.2408256881,,3
Dallas SDA,2015,Black,0.4025157233,0.2279220779,0.2183098592,0.2158854768,0.3509174312,,4
Dallas SDA,2015,FFS,0.0188679245,0.0329545455,0.5985915493,0.6035557608,0.1651376147,,5
Dallas SDA,2015,Dual Eligible,0.0,0.0,0.7605633803,0.3043177095,0.6181192661,,6
Dallas SDA,2015,Comorbidity Index,1.6163522013,0.7673701299,3.2816901408,2.9459709074,4.744266055,,7
Dallas SDA,2016,N,109.0,1625.0,187.0,2954.0,375.0,65.0,0
Dallas SDA,2016,Age,11.879174241,10.173089159,43.607112772,42.760613147,56.908614151,58.092923795,1
Dallas SDA,2016,Female,0.3302752294,0.5341538462,0.5347593583,0.5555179418,0.6186666667,0.5692307692,2
Dallas SDA,2016,White,0.3669724771,0.2904615385,0.4545454545,0.2782667569,0.1253333333,0.0769230769,3
Dallas SDA,2016,Black,0.4128440367,0.1870769231,0.192513369,0.288083954,0.5146666667,0.5230769231,4
Dallas SDA,2016,FFS,0.0458715596,0.0701538462,0.4759358289,0.365605958,0.088,0.0,5
Dallas SDA,2016,Dual Eligible,0.0,0.0006153846,0.7914438503,0.4790115098,0.3653333333,0.2615384615,6
Dallas SDA,2016,Comorbidity Index,1.9266055046,0.5790769231,4.4919786096,4.4289099526,4.6,6.8153846154,7
Dallas SDA,2017,N,679.0,22088.0,1418.0,11013.0,959.0,460.0,0
Dallas SDA,2017,Age,11.967437334,9.3010778894,38.257694282,36.125856119,64.291899024,70.743849282,1
Dallas SDA,2017,Female,0.4845360825,0.4779065556,0.4739069111,0.4805230183,0.6527632951,0.6804347826,2
Dallas SDA,2017,White,0.351988218,0.1528431728,0.2764456982,0.1634432035,0.1293013556,0.047826087,3
Dallas SDA,2017,Black,0.2871870398,0.2499547265,0.2616361072,0.2969218197,0.3430656934,0.3630434783,4
Dallas SDA,2017,FFS,0.1134020619,0.0315555958,0.047954866,0.3968945791,0.1595411887,0.0086956522,5
Dallas SDA,2017,Dual Eligible,0.0,4.52735e-05,0.0789844852,0.2065740489,0.6788321168,0.9391304348,6
Dallas SDA,2017,Comorbidity Index,1.0927835052,0.3256066643,3.4435825106,2.7631889585,4.4108446298,4.8391304348,7
Dallas SDA,2018,N,920.0,32548.0,991.0,15625.0,1440.0,265.0,0
Dallas SDA,2018,Age,11.594423838,9.7188978627,36.634147631,28.55458453,64.059619191,64.53098241,1
Dallas SDA,2018,Female,0.5119565217,0.4834091188,0.4964682139,0.45504,0.6388888889,0.6301886792,2
Dallas SDA,2018,White,0.275,0.1267358978,0.2240161453,0.124992,0.1173611111,0.0943396226,3
Dallas SDA,2018,Black,0.275,0.2248986113,0.2875882947,0.255616,0.3451388889,0.4037735849,4
Dallas SDA,2018,FFS,0.0076086957,0.0095243947,0.1190716448,0.076096,0.1229166667,0.0113207547,5
Dallas SDA,2018,Dual Eligible,0.0,3.07239e-05,0.2159434914,0.133824,0.6159722222,0.6377358491,6
Dallas SDA,2018,Comorbidity Index,1.0423913043,0.4674019909,3.473259334,2.37248,4.3243055556,5.4150943396,7
El Paso SDA,2013,N,54.0,6420.0,16.0,3682.0,,,0
El Paso SDA,2013,Age,12.182777692,10.332622981,23.903125048,40.722314361,,,1
